         1	2021-01-25 10:12:49	A2NC192960191	0	1	0
         5	2021-01-25 10:13:02	A2NC192960191	0	1	0
         4	2021-01-25 11:22:11	A2NC192960191	0	1	0
         5	2021-01-25 12:01:41	A2NC192960191	1	1	0
         5	2021-01-25 12:12:37	A2NC192960191	0	1	0
         4	2021-01-25 13:25:41	A2NC192960191	1	1	0
         5	2021-01-25 14:03:02	A2NC192960191	1	1	0
         5	2021-01-25 14:32:18	A2NC192960191	0	1	0
         4	2021-01-26 11:15:49	A2NC192960191	0	1	0
         5	2021-01-26 11:16:03	A2NC192960191	0	1	0
         5	2021-01-26 12:00:32	A2NC192960191	1	1	0
         5	2021-01-26 12:10:12	A2NC192960191	0	1	0
         4	2021-01-26 13:43:45	A2NC192960191	1	1	0
         5	2021-01-26 14:00:04	A2NC192960191	1	1	0
         5	2021-01-26 14:50:26	A2NC192960191	0	1	0
         3	2021-01-26 14:51:32	A2NC192960191	0	1	0
         5	2021-01-26 16:09:23	A2NC192960191	1	1	0
         5	2021-01-26 16:16:57	A2NC192960191	0	1	0
         3	2021-01-26 18:01:35	A2NC192960191	1	1	0
         5	2021-01-26 18:07:34	A2NC192960191	1	1	0
         5	2021-01-27 10:00:51	A2NC192960191	0	1	0
         4	2021-01-27 11:15:39	A2NC192960191	0	1	0
         5	2021-01-27 12:16:57	A2NC192960191	1	1	0
         4	2021-01-27 13:42:30	A2NC192960191	0	1	0
         5	2021-01-27 14:18:44	A2NC192960191	1	1	0
         5	2021-01-27 14:51:37	A2NC192960191	0	1	0
         3	2021-01-27 14:52:14	A2NC192960191	0	1	0
         5	2021-01-27 16:28:33	A2NC192960191	1	1	0
         5	2021-01-27 16:36:53	A2NC192960191	0	1	0
         3	2021-01-27 17:58:18	A2NC192960191	1	1	0
         5	2021-01-27 18:00:00	A2NC192960191	1	1	0
         5	2021-01-28 10:08:06	A2NC192960191	0	1	0
         4	2021-01-28 11:02:49	A2NC192960191	0	1	0
         5	2021-01-28 12:27:20	A2NC192960191	1	1	0
         5	2021-01-28 12:37:06	A2NC192960191	0	1	0
         4	2021-01-28 13:36:26	A2NC192960191	1	1	0
         5	2021-01-28 14:22:35	A2NC192960191	1	1	0
         3	2021-01-28 14:44:02	A2NC192960191	0	1	0
         5	2021-01-28 15:01:40	A2NC192960191	0	1	0
         3	2021-01-28 18:00:02	A2NC192960191	1	1	0
         5	2021-01-28 18:00:45	A2NC192960191	1	1	0
         5	2021-01-29 09:57:42	A2NC192960191	0	1	0
         4	2021-01-29 11:06:55	A2NC192960191	0	1	0
         3	2021-01-29 11:07:06	A2NC192960191	0	1	0
         5	2021-01-29 11:59:17	A2NC192960191	1	1	0
         5	2021-01-29 12:07:24	A2NC192960191	0	1	0
         3	2021-01-29 15:18:36	A2NC192960191	1	1	0
         4	2021-01-29 15:18:46	A2NC192960191	1	2	0
         5	2021-01-29 16:08:26	A2NC192960191	1	1	0
         5	2021-01-29 16:18:52	A2NC192960191	0	1	0
         5	2021-01-29 17:57:04	A2NC192960191	1	1	0
         5	2021-02-01 10:03:56	A2NC192960191	0	1	0
         4	2021-02-01 11:09:37	A2NC192960191	0	1	0
         2	2021-02-01 11:22:47	A2NC192960191	0	1	0
         2	2021-02-01 12:07:48	A2NC192960191	1	1	0
         5	2021-02-01 12:45:41	A2NC192960191	1	1	0
         5	2021-02-01 12:54:17	A2NC192960191	0	1	0
         5	2021-02-01 14:08:14	A2NC192960191	1	1	0
         5	2021-02-01 14:34:28	A2NC192960191	0	1	0
         4	2021-02-01 15:00:42	A2NC192960191	1	1	0
         5	2021-02-01 17:56:50	A2NC192960191	1	1	0
         5	2021-02-02 09:57:36	A2NC192960191	0	1	0
         4	2021-02-02 11:08:22	A2NC192960191	0	1	0
         5	2021-02-02 11:57:04	A2NC192960191	1	1	0
         4	2021-02-02 13:40:47	A2NC192960191	1	1	0
         5	2021-02-02 14:29:48	A2NC192960191	1	1	0
         5	2021-02-02 14:38:39	A2NC192960191	0	1	0
         3	2021-02-02 16:37:37	A2NC192960191	0	1	0
         5	2021-02-02 17:57:02	A2NC192960191	1	1	0
         3	2021-02-02 17:58:03	A2NC192960191	1	1	0
         5	2021-02-03 10:00:34	A2NC192960191	0	1	0
         5	2021-02-03 12:19:30	A2NC192960191	0	1	0
         5	2021-02-03 14:42:34	A2NC192960191	1	1	0
         3	2021-02-03 14:55:45	A2NC192960191	0	1	0
         5	2021-02-03 14:56:36	A2NC192960191	0	1	0
         3	2021-02-03 17:57:09	A2NC192960191	1	1	0
         5	2021-02-04 09:55:37	A2NC192960191	0	1	0
         4	2021-02-04 11:06:41	A2NC192960191	0	1	0
         3	2021-02-04 11:06:50	A2NC192960191	0	1	0
         5	2021-02-04 12:03:30	A2NC192960191	1	1	0
         5	2021-02-04 12:13:02	A2NC192960191	0	1	0
         3	2021-02-04 13:44:03	A2NC192960191	1	1	0
         4	2021-02-04 13:44:08	A2NC192960191	1	1	0
         5	2021-02-04 14:02:03	A2NC192960191	1	1	0
         5	2021-02-04 14:35:24	A2NC192960191	0	1	0
         3	2021-02-04 14:55:23	A2NC192960191	0	1	0
         5	2021-02-04 16:18:59	A2NC192960191	1	1	0
         5	2021-02-04 16:27:41	A2NC192960191	0	1	0
         3	2021-02-04 17:40:24	A2NC192960191	1	1	0
         5	2021-02-04 17:58:03	A2NC192960191	1	1	0
         5	2021-02-05 10:03:34	A2NC192960191	0	1	0
         3	2021-02-05 10:59:43	A2NC192960191	0	1	0
         5	2021-02-05 12:16:48	A2NC192960191	1	1	0
         5	2021-02-05 12:24:24	A2NC192960191	0	1	0
         5	2021-02-05 14:29:07	A2NC192960191	1	1	0
         5	2021-02-05 14:46:09	A2NC192960191	0	1	0
         3	2021-02-05 15:29:40	A2NC192960191	0	1	0
         5	2021-02-05 16:09:49	A2NC192960191	1	1	0
         1	2021-02-05 16:52:08	A2NC192960191	0	1	0
         3	2021-02-05 17:56:45	A2NC192960191	1	1	0
         5	2021-02-05 17:58:42	A2NC192960191	1	1	0
         5	2021-02-08 09:56:52	A2NC192960191	0	1	0
         4	2021-02-08 11:09:22	A2NC192960191	0	1	0
         5	2021-02-08 12:01:36	A2NC192960191	1	1	0
         5	2021-02-08 12:10:05	A2NC192960191	0	1	0
         4	2021-02-08 13:22:31	A2NC192960191	1	1	0
         5	2021-02-08 14:24:30	A2NC192960191	1	1	0
         5	2021-02-08 14:33:57	A2NC192960191	0	1	0
         5	2021-02-08 16:37:48	A2NC192960191	1	1	0
         5	2021-02-08 17:59:27	A2NC192960191	1	1	0
         4	2021-02-09 11:11:33	A2NC192960191	0	1	0
         5	2021-02-09 11:11:39	A2NC192960191	0	1	0
         5	2021-02-09 12:44:01	A2NC192960191	1	1	0
         5	2021-02-09 12:58:17	A2NC192960191	0	1	0
         4	2021-02-09 13:24:34	A2NC192960191	1	1	0
         5	2021-02-09 14:30:45	A2NC192960191	1	1	0
         5	2021-02-09 14:40:46	A2NC192960191	0	1	0
         3	2021-02-09 15:03:27	A2NC192960191	0	1	0
         5	2021-02-09 16:59:07	A2NC192960191	1	1	0
         5	2021-02-09 17:05:32	A2NC192960191	0	1	0
         3	2021-02-09 17:57:38	A2NC192960191	1	1	0
         5	2021-02-09 18:05:01	A2NC192960191	1	1	0
         5	2021-02-10 09:58:23	A2NC192960191	0	1	0
         4	2021-02-10 11:08:49	A2NC192960191	0	1	0
         5	2021-02-10 12:32:46	A2NC192960191	1	1	0
         5	2021-02-10 12:43:37	A2NC192960191	0	1	0
         4	2021-02-10 13:27:51	A2NC192960191	1	1	0
         5	2021-02-10 14:30:17	A2NC192960191	1	1	0
         5	2021-02-10 14:40:29	A2NC192960191	0	1	0
         3	2021-02-10 14:59:48	A2NC192960191	0	1	0
         3	2021-02-10 17:56:44	A2NC192960191	1	1	0
         5	2021-02-10 17:57:52	A2NC192960191	1	1	0
         4	2021-02-11 11:12:10	A2NC192960191	0	1	0
